date,count,package
2020-01-01,0,csppData
2020-01-02,0,csppData
2020-01-03,0,csppData
2020-01-04,0,csppData
2020-01-05,0,csppData
2020-01-06,0,csppData
2020-01-07,0,csppData
2020-01-08,0,csppData
2020-01-09,0,csppData
2020-01-10,0,csppData
2020-01-11,0,csppData
2020-01-12,0,csppData
2020-01-13,0,csppData
2020-01-14,0,csppData
2020-01-15,0,csppData
2020-01-16,0,csppData
2020-01-17,0,csppData
2020-01-18,0,csppData
2020-01-19,0,csppData
2020-01-20,0,csppData
2020-01-21,0,csppData
2020-01-22,0,csppData
2020-01-23,0,csppData
2020-01-24,0,csppData
2020-01-25,0,csppData
2020-01-26,0,csppData
2020-01-27,0,csppData
2020-01-28,0,csppData
2020-01-29,0,csppData
2020-01-30,0,csppData
2020-01-31,0,csppData
2020-02-01,0,csppData
2020-02-02,0,csppData
2020-02-03,0,csppData
2020-02-04,0,csppData
2020-02-05,0,csppData
2020-02-06,0,csppData
2020-02-07,0,csppData
2020-02-08,0,csppData
2020-02-09,0,csppData
2020-02-10,0,csppData
2020-02-11,0,csppData
2020-02-12,0,csppData
2020-02-13,0,csppData
2020-02-14,0,csppData
2020-02-15,0,csppData
2020-02-16,0,csppData
2020-02-17,0,csppData
2020-02-18,0,csppData
2020-02-19,0,csppData
2020-02-20,0,csppData
2020-02-21,0,csppData
2020-02-22,0,csppData
2020-02-23,0,csppData
2020-02-24,0,csppData
2020-02-25,0,csppData
2020-02-26,0,csppData
2020-02-27,0,csppData
2020-02-28,0,csppData
2020-02-29,0,csppData
2020-03-01,0,csppData
2020-03-02,0,csppData
2020-03-03,0,csppData
2020-03-04,0,csppData
2020-03-05,0,csppData
2020-03-06,0,csppData
2020-03-07,0,csppData
2020-03-08,0,csppData
2020-03-09,0,csppData
2020-03-10,0,csppData
2020-03-11,0,csppData
2020-03-12,0,csppData
2020-03-13,0,csppData
2020-03-14,0,csppData
2020-03-15,0,csppData
2020-03-16,0,csppData
2020-03-17,0,csppData
2020-03-18,0,csppData
2020-03-19,0,csppData
2020-03-20,0,csppData
2020-03-21,0,csppData
2020-03-22,0,csppData
2020-03-23,0,csppData
2020-03-24,0,csppData
2020-03-25,0,csppData
2020-03-26,0,csppData
2020-03-27,0,csppData
2020-03-28,0,csppData
2020-03-29,0,csppData
2020-03-30,0,csppData
2020-03-31,0,csppData
2020-04-01,0,csppData
2020-04-02,0,csppData
2020-04-03,0,csppData
2020-04-04,0,csppData
2020-04-05,0,csppData
2020-04-06,0,csppData
2020-04-07,0,csppData
2020-04-08,0,csppData
2020-04-09,0,csppData
2020-04-10,0,csppData
2020-04-11,0,csppData
2020-04-12,0,csppData
2020-04-13,0,csppData
2020-04-14,0,csppData
2020-04-15,0,csppData
2020-04-16,0,csppData
2020-04-17,0,csppData
2020-04-18,0,csppData
2020-04-19,0,csppData
2020-04-20,0,csppData
2020-04-21,0,csppData
2020-04-22,0,csppData
2020-04-23,0,csppData
2020-04-24,0,csppData
2020-04-25,0,csppData
2020-04-26,0,csppData
2020-04-27,0,csppData
2020-04-28,0,csppData
2020-04-29,0,csppData
2020-04-30,0,csppData
2020-05-01,0,csppData
2020-05-02,0,csppData
2020-05-03,0,csppData
2020-05-04,0,csppData
2020-05-05,0,csppData
2020-05-06,0,csppData
2020-05-07,0,csppData
2020-05-08,0,csppData
2020-05-09,0,csppData
2020-05-10,0,csppData
2020-05-11,0,csppData
2020-05-12,0,csppData
2020-05-13,0,csppData
2020-05-14,0,csppData
2020-05-15,0,csppData
2020-05-16,0,csppData
2020-05-17,0,csppData
2020-05-18,0,csppData
2020-05-19,0,csppData
2020-05-20,0,csppData
2020-05-21,0,csppData
2020-05-22,0,csppData
2020-05-23,0,csppData
2020-05-24,0,csppData
2020-05-25,0,csppData
2020-05-26,0,csppData
2020-05-27,0,csppData
2020-05-28,0,csppData
2020-05-29,0,csppData
2020-05-30,0,csppData
2020-05-31,0,csppData
2020-06-01,0,csppData
2020-06-02,0,csppData
2020-06-03,0,csppData
2020-06-04,0,csppData
2020-06-05,0,csppData
2020-06-06,0,csppData
2020-06-07,0,csppData
2020-06-08,0,csppData
2020-06-09,0,csppData
2020-06-10,0,csppData
2020-06-11,0,csppData
2020-06-12,0,csppData
2020-06-13,0,csppData
2020-06-14,0,csppData
2020-06-15,0,csppData
2020-06-16,0,csppData
2020-06-17,0,csppData
2020-06-18,0,csppData
2020-06-19,0,csppData
2020-06-20,0,csppData
2020-06-21,0,csppData
2020-06-22,0,csppData
2020-06-23,0,csppData
2020-06-24,0,csppData
2020-06-25,0,csppData
2020-06-26,0,csppData
2020-06-27,0,csppData
2020-06-28,0,csppData
2020-06-29,0,csppData
2020-06-30,0,csppData
2020-07-01,0,csppData
2020-07-02,0,csppData
2020-07-03,0,csppData
2020-07-04,0,csppData
2020-07-05,0,csppData
2020-07-06,0,csppData
2020-07-07,0,csppData
2020-07-08,0,csppData
2020-07-09,0,csppData
2020-07-10,0,csppData
2020-07-11,0,csppData
2020-07-12,0,csppData
2020-07-13,0,csppData
2020-07-14,0,csppData
2020-07-15,0,csppData
2020-07-16,0,csppData
2020-07-17,0,csppData
2020-07-18,0,csppData
2020-07-19,0,csppData
2020-07-20,0,csppData
2020-07-21,0,csppData
2020-07-22,0,csppData
2020-07-23,0,csppData
2020-07-24,0,csppData
2020-07-25,0,csppData
2020-07-26,0,csppData
2020-07-27,0,csppData
2020-07-28,0,csppData
2020-07-29,0,csppData
2020-07-30,0,csppData
2020-07-31,0,csppData
2020-08-01,0,csppData
2020-08-02,0,csppData
2020-08-03,0,csppData
2020-08-04,0,csppData
2020-08-05,0,csppData
2020-08-06,0,csppData
2020-08-07,0,csppData
2020-08-08,0,csppData
2020-08-09,0,csppData
2020-08-10,0,csppData
2020-08-11,0,csppData
2020-08-12,0,csppData
2020-08-13,0,csppData
2020-08-14,0,csppData
2020-08-15,0,csppData
2020-08-16,0,csppData
2020-08-17,0,csppData
2020-08-18,0,csppData
2020-08-19,0,csppData
2020-08-20,0,csppData
2020-08-21,0,csppData
2020-08-22,0,csppData
2020-08-23,0,csppData
2020-08-24,0,csppData
2020-08-25,0,csppData
2020-08-26,0,csppData
2020-08-27,0,csppData
2020-08-28,0,csppData
2020-08-29,0,csppData
2020-08-30,0,csppData
2020-08-31,0,csppData
2020-09-01,0,csppData
2020-09-02,0,csppData
2020-09-03,0,csppData
2020-09-04,0,csppData
2020-09-05,0,csppData
2020-09-06,0,csppData
2020-09-07,0,csppData
2020-09-08,0,csppData
2020-09-09,0,csppData
2020-09-10,0,csppData
2020-09-11,0,csppData
2020-09-12,0,csppData
2020-09-13,0,csppData
2020-09-14,0,csppData
2020-09-15,0,csppData
2020-09-16,0,csppData
2020-09-17,0,csppData
2020-09-18,0,csppData
2020-09-19,0,csppData
2020-09-20,0,csppData
2020-09-21,0,csppData
2020-09-22,0,csppData
2020-09-23,0,csppData
2020-09-24,0,csppData
2020-09-25,0,csppData
2020-09-26,0,csppData
2020-09-27,0,csppData
2020-09-28,0,csppData
2020-09-29,0,csppData
2020-09-30,0,csppData
2020-10-01,0,csppData
2020-10-02,0,csppData
2020-10-03,0,csppData
2020-10-04,0,csppData
2020-10-05,0,csppData
2020-10-06,0,csppData
2020-10-07,0,csppData
2020-10-08,0,csppData
2020-10-09,0,csppData
2020-10-10,0,csppData
2020-10-11,0,csppData
2020-10-12,0,csppData
2020-10-13,0,csppData
2020-10-14,0,csppData
2020-10-15,0,csppData
2020-10-16,0,csppData
2020-10-17,0,csppData
2020-10-18,0,csppData
2020-10-19,0,csppData
2020-10-20,0,csppData
2020-10-21,0,csppData
2020-10-22,0,csppData
2020-10-23,0,csppData
2020-10-24,0,csppData
2020-10-25,0,csppData
2020-10-26,0,csppData
2020-10-27,0,csppData
2020-10-28,0,csppData
2020-10-29,0,csppData
2020-10-30,0,csppData
2020-10-31,0,csppData
2020-11-01,0,csppData
2020-11-02,0,csppData
2020-11-03,0,csppData
2020-11-04,0,csppData
2020-11-05,0,csppData
2020-11-06,0,csppData
2020-11-07,0,csppData
2020-11-08,0,csppData
2020-11-09,0,csppData
2020-11-10,0,csppData
2020-11-11,0,csppData
2020-11-12,0,csppData
2020-11-13,0,csppData
2020-11-14,0,csppData
2020-11-15,0,csppData
2020-11-16,0,csppData
2020-11-17,0,csppData
2020-11-18,0,csppData
2020-11-19,0,csppData
2020-11-20,0,csppData
2020-11-21,0,csppData
2020-11-22,0,csppData
2020-11-23,0,csppData
2020-11-24,0,csppData
2020-11-25,0,csppData
2020-11-26,0,csppData
2020-11-27,0,csppData
2020-11-28,0,csppData
2020-11-29,0,csppData
2020-11-30,0,csppData
2020-12-01,0,csppData
2020-12-02,0,csppData
2020-12-03,0,csppData
2020-12-04,0,csppData
2020-12-05,0,csppData
2020-12-06,0,csppData
2020-12-07,0,csppData
2020-12-08,0,csppData
2020-12-09,0,csppData
2020-12-10,0,csppData
2020-12-11,0,csppData
2020-12-12,0,csppData
2020-12-13,0,csppData
2020-12-14,0,csppData
2020-12-15,0,csppData
2020-12-16,0,csppData
2020-12-17,13,csppData
2020-12-18,30,csppData
2020-12-19,11,csppData
2020-12-20,29,csppData
2020-12-21,32,csppData
2020-12-22,22,csppData
2020-12-23,24,csppData
2020-12-24,19,csppData
2020-12-25,19,csppData
2020-12-26,17,csppData
2020-12-27,16,csppData
2020-12-28,25,csppData
2020-12-29,21,csppData
2020-12-30,22,csppData
2020-12-31,19,csppData
2021-01-01,18,csppData
2021-01-02,18,csppData
2021-01-03,18,csppData
2021-01-04,17,csppData
2021-01-05,24,csppData
2021-01-06,30,csppData
2021-01-07,22,csppData
2021-01-08,17,csppData
2021-01-09,19,csppData
2021-01-10,20,csppData
2021-01-11,26,csppData
2021-01-12,26,csppData
2021-01-13,24,csppData
2021-01-14,24,csppData
2021-01-15,23,csppData
2021-01-16,16,csppData
2021-01-17,20,csppData
2021-01-18,19,csppData
2021-01-19,22,csppData
2021-01-20,25,csppData
2021-01-21,16,csppData
2021-01-22,13,csppData
2021-01-23,23,csppData
2021-01-24,5,csppData
2021-01-25,24,csppData
2021-01-26,8,csppData
2021-01-27,28,csppData
2021-01-28,6,csppData
2021-01-29,20,csppData
2021-01-30,22,csppData
2021-01-31,18,csppData
2021-02-01,19,csppData
2021-02-02,24,csppData
2021-02-03,27,csppData
2021-02-04,24,csppData
2021-02-05,17,csppData
2021-02-06,24,csppData
2021-02-07,23,csppData
2021-02-08,16,csppData
2021-02-09,24,csppData
2021-02-10,21,csppData
2021-02-11,28,csppData
2021-02-12,24,csppData
2021-02-13,24,csppData
2021-02-14,5,csppData
2021-02-15,23,csppData
2021-02-16,17,csppData
2021-02-17,26,csppData
2021-02-18,25,csppData
2021-02-19,24,csppData
2021-02-20,23,csppData
2021-02-21,23,csppData
2021-02-22,31,csppData
2021-02-23,8,csppData
2021-02-24,37,csppData
2021-02-25,24,csppData
2021-02-26,31,csppData
2021-02-27,20,csppData
2021-02-28,20,csppData
2021-03-01,31,csppData
2021-03-02,27,csppData
2021-03-03,29,csppData
2021-03-04,24,csppData
2021-03-05,28,csppData
2021-03-06,20,csppData
2021-03-07,19,csppData
2021-03-08,31,csppData
2021-03-09,23,csppData
2021-03-10,31,csppData
2021-03-11,21,csppData
2021-03-12,24,csppData
2021-03-13,28,csppData
2021-03-14,20,csppData
2021-03-15,23,csppData
2021-03-16,30,csppData
2021-03-17,28,csppData
2021-03-18,25,csppData
2021-03-19,8,csppData
2021-03-20,20,csppData
2021-03-21,4,csppData
2021-03-22,26,csppData
2021-03-23,4,csppData
2021-03-24,28,csppData
2021-03-25,10,csppData
2021-03-26,24,csppData
2021-03-27,9,csppData
2021-03-28,31,csppData
2021-03-29,16,csppData
2021-03-30,44,csppData
2021-03-31,13,csppData
2021-04-01,48,csppData
2021-04-02,6,csppData
2021-04-03,43,csppData
2021-04-04,6,csppData
2021-04-05,44,csppData
2021-04-06,10,csppData
2021-04-07,61,csppData
2021-04-08,50,csppData
2021-04-09,10,csppData
2021-04-10,45,csppData
2021-04-11,14,csppData
2021-04-12,47,csppData
2021-04-13,14,csppData
2021-04-14,48,csppData
2021-04-15,6,csppData
2021-04-16,44,csppData
2021-04-17,8,csppData
2021-04-18,46,csppData
2021-04-19,11,csppData
2021-04-20,51,csppData
2021-04-21,19,csppData
2021-04-22,59,csppData
2021-04-23,15,csppData
2021-04-24,55,csppData
2021-04-25,7,csppData
2021-04-26,49,csppData
2021-04-27,21,csppData
2021-04-28,46,csppData
2021-04-29,7,csppData
2021-04-30,8,csppData
2021-05-01,47,csppData
2021-05-02,10,csppData
2021-05-03,45,csppData
2021-05-04,21,csppData
2021-05-05,12,csppData
2021-05-06,52,csppData
2021-05-07,10,csppData
2021-05-08,46,csppData
2021-05-09,3,csppData
2021-05-10,48,csppData
2021-05-11,10,csppData
2021-05-12,58,csppData
2021-05-13,17,csppData
2021-05-14,50,csppData
2021-05-15,5,csppData
2021-05-16,47,csppData
2021-05-17,9,csppData
2021-05-18,60,csppData
2021-05-19,20,csppData
2021-05-20,58,csppData
2021-05-21,12,csppData
2021-05-22,48,csppData
2021-05-23,8,csppData
2021-05-24,12,csppData
2021-05-25,59,csppData
2021-05-26,13,csppData
2021-05-27,8,csppData
2021-05-28,51,csppData
2021-05-29,8,csppData
2021-05-30,54,csppData
2021-05-31,11,csppData
2021-06-01,47,csppData
2021-06-02,10,csppData
2021-06-03,49,csppData
2021-06-04,6,csppData
2021-06-05,2,csppData
2021-06-06,50,csppData
2021-06-07,16,csppData
2021-06-08,68,csppData
2021-06-09,21,csppData
